date,AUD/CAD,AUD/CHF,AUD/JPY,AUD/NZD,AUD/USD,CAD/CHF,CAD/JPY,CHF/JPY,EUR/AUD,EUR/CAD,EUR/CHF,EUR/GBP,EUR/JPY,EUR/NZD,EUR/USD,GBP/CAD,GBP/CHF,GBP/JPY,GBP/USD,NZD/CAD,NZD/CHF,NZD/JPY,NZD/USD,USD/CAD,USD/CHF,USD/JPY
1999-01-04,0.9426178010471205,0.8464921465968587,70.01570680628272,1.163821989528796,0.6172251308900524,0.8980226616307487,74.27793823594756,82.7127659574468,1.91,1.8004,1.6168,0.7111,133.73,2.2229,1.1789,2.5318520601884407,2.273660525945718,188.06075094923358,1.6578540289692028,0.8099329704440146,0.7273381618606325,60.160151153898056,0.5303432453101804,1.5271863601662565,1.371447959962677,113.43625413521077
1999-01-05,0.9483213682432432,0.8510874155405406,69.13006756756756,1.1618982263513513,0.6223606418918919,0.8974672975229614,72.89730030615085,81.225578366309,1.8944,1.7965,1.6123,0.7122,130.96,2.2011,1.179,2.5224655995506877,2.2638303847233923,183.88093232238134,1.6554338668913227,0.8161828176820681,0.7324973876698015,59.49752396529009,0.535641270273954,1.5237489397794741,1.3675148430873623,111.0771840542833
1999-01-06,0.9410733262486716,0.8563230605738577,69.82996811902231,1.163124335812965,0.6239638682252923,0.9099429732934334,74.20247303935408,81.54628940183667,1.882,1.7711,1.6116,0.7076,131.42,2.189,1.1743,2.502967778405879,2.277557942340305,185.7263990955342,1.6595534200113056,0.809090909090909,0.7362265874828688,60.036546368204654,0.536455002284148,1.5082176615856255,1.3723920633568936,111.91348037128502
1999-01-07,0.9527985276604959,0.8750135325322075,70.06062574428928,1.1654758038324131,0.6296416585471474,0.9183615498238837,73.53141688444495,80.06804825239716,1.8474,1.7602,1.6165,0.70585,129.43,2.1531,1.1632,2.4937309626691224,2.2901466317206207,183.36757101367147,1.647942197350712,0.8175189261994334,0.7507779480748689,60.113324973294326,0.5402442989178394,1.513239339752407,1.3897008253094911,111.27063273727649
1999-01-08,0.958546126263175,0.8767793110942084,70.67803976964034,1.171194175812235,0.633434749538194,0.9146970469874738,73.7346256305617,80.61098029495601,1.8406,1.7643,1.6138,0.7094,130.09,2.1557,1.1659,2.487031294051311,2.2748801804341694,183.3803213983648,1.6435015506061459,0.8184348471494178,0.748619937839217,60.34698705756831,0.540845201094772,1.5132515653143495,1.3841667381422078,111.57903765331504
1999-01-11,0.9629976839086799,0.8880555861916842,69.66471820888938,1.172217933164222,0.6379728686445352,0.9221783198763099,72.34152207524481,78.44634873323398,1.8134,1.7463,1.6104,0.7044,126.33,2.1257,1.1569,2.4791311754684835,2.2862010221465074,179.3441226575809,1.6423906871095968,0.8215176177259255,0.7575857364632826,59.42983487792256,0.5442442489532859,1.5094649494338317,1.3919958509810701,109.19699196127581
1999-01-12,0.9614151464897734,0.8884466556108347,71.65837479270316,1.1724709784411278,0.6368159203980099,0.9241030358785648,74.53426862925483,80.65579890492782,1.809,1.7392,1.6072,0.7066,129.63,2.121,1.152,2.4613642796490236,2.2745542032267196,183.4559864138126,1.6303424851401074,0.8199905704856201,0.7577557755775577,61.117397454031114,0.5431400282885431,1.5097222222222224,1.395138888888889,112.52604166666667
1999-01-13,0.9733082706766917,0.8555853920515574,70.83243823845326,1.1677765843179375,0.6307196562835661,0.8790487226176681,72.77492688848425,82.78827443349444,1.862,1.8123,1.5931,0.7084,131.89,2.1744,1.1744,2.558300395256917,2.2488706945228683,186.18012422360246,1.6578204404291361,0.8334713024282562,0.7326618837380428,60.65581309786607,0.540103016924209,1.5431709809264305,1.3565224795640325,112.30415531335147
1999-01-14,0.9648013948673242,0.8681959352694383,72.32605023701848,1.175284694600338,0.634937067509399,0.8998701078669452,74.9647032247134,83.30613781850133,1.8353,1.7707,1.5934,0.7062,132.74,2.157,1.1653,2.5073633531577455,2.256301331067686,187.96374964599264,1.6500991220617387,0.8209086694483078,0.7387111729253593,61.53917477978674,0.5402410755679184,1.519522869647301,1.367373208615807,113.9105809662748
1999-01-15,0.9678594735697195,0.8692625625407875,71.64455079399609,1.173700239286491,0.6322601696758756,0.8981288981288981,74.0237118615497,82.41991991991992,1.8388,1.7797,1.5984,0.7039,131.74,2.1582,1.1626,2.52834209404745,2.2707770990197473,187.15726665719563,1.6516550646398638,0.8246223704939302,0.7406171809841535,61.041608748030775,0.5386896487813919,1.5307930500602098,1.3748494753139515,113.3149836573198
1999-01-18,0.9685654931117429,0.8749179969385524,72.65471244259787,1.1847255630876887,0.6348130330198994,0.9033132020093695,75.0126996669865,83.04173956510873,1.8292,1.7717,1.6004,0.7013,132.9,2.1671,1.1612,2.526308284614288,2.28204762583773,189.50520461999145,1.6557821189220019,0.8175441834709981,0.7384984541553228,61.3261962992017,0.5358312952794057,1.5257492249397175,1.37822941784361,114.45056837754048
1999-01-19,0.9696091828368407,0.8746105493304183,72.2273845312927,1.1814156873462696,0.6349275758403936,0.9020237893906083,74.49123400417159,82.58233860383724,1.8295,1.7739,1.6001,0.7,132.14,2.1614,1.1616,2.5341428571428573,2.285857142857143,188.77142857142857,1.6594285714285715,0.8207180531137226,0.7403072082909226,61.13630054594244,0.5374294438789673,1.5271177685950414,1.3774965564738293,113.75688705234158
1999-01-20,0.9757528786536758,0.8870682019486271,72.84654561558902,1.1901572187776794,0.6407772364924712,0.9091115397707932,74.65675706342903,82.12056914628057,1.8064,1.7626,1.6024,0.7014,131.59,2.1499,1.1575,2.5129740518962076,2.2845737097234102,187.61049329911606,1.6502708867978328,0.8198520861435414,0.745336992418252,61.207498023163865,0.5383971347504535,1.5227645788336932,1.3843628509719224,113.68466522678186
1999-01-21,0.964668978041935,0.8821748940619669,71.72967915909967,1.1825986461944857,0.6368389191568984,0.9144845684294598,74.35678019282332,81.31004366812228,1.8171,1.7529,1.603,0.7023,130.34,2.1489,1.1572,2.4959419051687313,2.2825003559732306,185.59020361668803,1.6477288907874128,0.815719670529108,0.7459630508632324,60.65428824049514,0.5385080738982736,1.51477704804701,1.385240235050121,112.6339440027653
1999-01-22,0.961042524005487,0.8769821673525378,72.36213991769547,1.1807407407407406,0.6346776406035666,0.9125321153297173,75.29546103339993,82.51266971156853,1.8225,1.7515,1.5983,0.7005,131.88,2.1519,1.1567,2.500356887937188,2.281655960028551,188.26552462526766,1.651249107780157,0.8139318741577212,0.7427389748594266,61.28537571448487,0.5375249779264836,1.514221492176018,1.3817757413331027,114.01400536007607
1999-01-25,0.9619479172353551,0.8716492875470874,72.11333733690014,1.1824534585357864,0.632417972375389,0.9061293984108967,74.96594778660614,82.73205561818865,1.8317,1.762,1.5966,0.6989,132.09,2.1659,1.1584,2.52110459293175,2.2844469881241953,188.99699527829446,1.6574617255687512,0.8135186296689597,0.7371531464979916,60.986195115194604,0.5348354032965511,1.521063535911602,1.3782803867403315,114.02796961325966
1999-01-26,0.957479201783481,0.8711869936381926,71.67092599641128,1.1782393562068403,0.6297645587515632,0.9098756317792039,74.85376795956614,82.26813131943577,1.8391,1.7609,1.6022,0.6976,131.81,2.1669,1.1582,2.5242259174311927,2.296731651376147,188.94782110091742,1.6602637614678897,0.8126355623240573,0.7393972956758503,60.82883381789653,0.5344962850154598,1.5203764462096356,1.383353479537213,113.80590571576586
1999-01-27,0.9570250641620707,0.87817397477202,72.03079779391689,1.1791623436902747,0.6295527767159942,0.9176081250713227,75.26532009585759,82.02338017659494,1.8313,1.7526,1.6082,0.6968,131.91,2.1594,1.1529,2.515212399540758,2.307979334098737,189.30826636050517,1.6545637198622274,0.811614337315921,0.7447439103454663,61.08641289247012,0.5338983050847457,1.520166536559979,1.3949171654089687,114.41582097319801
